N,P,K,temperature,humidity,ph,rainfall,label
91.80254532814293,48.081439659275304,44.109496323734845,21.439176586490024,76.7283294122178,6.7586795547116845,2366.6327320647597,rice
100.50599115826213,31.599288500228706,55.67651144167377,25.54359659677138,76.56988430988962,6.158921070856662,1230.723124067431,rice
99.34921914500273,59.95963413441593,31.338790100579846,25.95141263593758,83.30168829068602,6.955030805604336,1976.086905542386,rice
110.592573716347,44.528407380986756,54.353253402415284,24.939245284771065,73.71527267583515,5.9920787281182255,2122.4140139789315,rice
76.48364530277868,42.266349195684455,34.078954544116556,27.525186902252088,76.78549311062734,6.484303338939945,1464.0653129840714,rice
118.46355452764794,56.18256025436365,46.82796001644854,25.459432359492023,86.81879903570191,6.759237948324322,1931.7129751113034,rice
76.38472598317907,47.94087779459348,58.641257064008514,23.90287688050487,74.6142901101944,6.14633498072911,1962.7399792024482,rice
107.50072032193913,56.64409498472902,52.55598274572425,29.312149845122782,79.54370798205031,5.722375214155042,1540.4880877796577,rice
63.05277070325895,58.61570511036125,56.96490926626413,24.593817505675677,71.54382876460247,6.512365486078612,1978.703341696029,rice
82.5227072266182,56.52812382881592,59.86548643422881,24.76503942122471,78.11272515435483,6.1579677572087315,1505.126736893738,rice
101.7017495866284,40.77754114481043,43.203258732219744,26.17383404670485,76.37620080476586,6.740461157013385,1242.7434468569763,rice
114.33769323874654,58.631369967734884,57.21183437298957,27.685489647028618,80.59993455895881,5.838969291198395,1586.6127128540231,rice
104.69881725068952,31.649042807560832,37.098569902458756,28.713622631418374,87.56586491701722,6.668568669709517,2431.570196607477,rice
101.24960480745219,32.655559042898474,54.02451864436487,22.26053867125817,80.27465325151154,6.490047840890265,2286.5853217963945,rice
108.38699907391893,31.03716994036846,56.76681957148163,23.86545090469555,78.73938949300134,6.621951020415771,2233.292143633169,rice
118.14081853160218,40.968322450508225,39.31157968959893,25.658194500718388,86.06616200243452,6.7985347711488835,2400.911598160149,rice
73.62163570161215,57.53472927907873,48.709291060252546,25.38211726271407,86.64103885615344,6.439536660699556,1582.039433310828,rice
100.15513294079857,47.44618368821319,30.138172711579834,21.830869187049135,77.16765668103653,6.350458062005017,1627.6156740535762,rice
